PID,Name,Command Line,User,Instance,CPU (%),Memory (MB)
20528,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,LAPTOP-SV3VC76P\ASUS,1727379186.33421,16.60,10.50
20568,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,LAPTOP-SV3VC76P\ASUS,1727379191.56173,16.60,10.52
1132,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379196.7598448,0.00,3.89
17152,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379201.9337907,0.00,3.89
5652,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379207.1294115,0.00,3.89
11300,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379212.33809,0.00,3.89
24608,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379217.553212,16.60,3.89
24088,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,LAPTOP-SV3VC76P\ASUS,1727379222.7475536,0.00,10.51
19472,backgroundTaskHost.exe,C:\WINDOWS\system32\backgroundTaskHost.exe -ServerName:App.AppX3yypww7qrft4zqhh57xaatcrnp803bj7.mca,LAPTOP-SV3VC76P\ASUS,1727379227.391498,49.90,18.43
13744,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379227.917415,16.80,3.89
17544,cmd.exe,C:\WINDOWS\system32\cmd.exe /d /s /c tasklist /FI IMAGENAME eq BlueStacks X.exe,LAPTOP-SV3VC76P\ASUS,1727379233.1500008,0.00,3.89
18680,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,LAPTOP-SV3VC76P\ASUS,1727379238.3889573,0.00,10.51
